setup_type,forecast_direction,primary_regime,ticker_archetype,sample_size,true_during_week_rate,average_best_correct_return_pct,average_adverse_move_pct,average_held_to_end_pl_per_share,average_conviction_score,recommended_score_adjustment
DOWN_OPPORTUNITY,DOWN,HIGH_VOL,DEFENSIVE_STABLE,88,60.23,2.368,-2.448,0.6269,11.33,5
DOWN_OPPORTUNITY,DOWN,HIGH_VOL,FINANCIAL,80,65.0,3.547,-4.232,-0.498,14.76,5
DOWN_OPPORTUNITY,DOWN,NORMAL,FINANCIAL,165,56.36,3.294,-2.974,0.1625,12.93,3
MOMENTUM_CONTINUATION,UP,HIGH_VOL,FINANCIAL,18,72.22,3.008,-2.344,1.67,32.67,0
UP_OPPORTUNITY,UP,HIGH_VOL,MEGA_CAP_TECH,17,64.71,3.324,-3.685,-2.1772,14.12,0
NO_CLEAN_SETUP,DOWN,NORMAL,NORMAL,15,80.0,4.447,-6.228,-0.8518,5.0,0
NO_CLEAN_SETUP,DOWN,HIGH_VOL,NORMAL,14,57.14,3.622,-10.937,-12.0349,5.79,0
OVERSOLD_BOUNCE,UP,HIGH_VOL,NORMAL,11,54.55,2.451,-3.005,0.1541,6.0,0
NO_CLEAN_SETUP,UP,NORMAL,NORMAL,10,100.0,8.57,-4.154,4.0378,5.4,0
NO_CLEAN_SETUP,UP,HIGH_VOL,NORMAL,5,100.0,7.728,-4.438,1.0154,5.2,0
MOMENTUM_CONTINUATION,UP,HIGH_VOL,MEGA_CAP_TECH,5,60.0,2.936,-4.614,-3.9723,35.2,0
NO_CLEAN_SETUP,DOWN,NORMAL,MOMENTUM_HIGH_BETA,3,66.67,10.673,-7.177,-1.0426,7.67,0
MEAN_REVERSION_SHORT,DOWN,NORMAL,NORMAL,2,100.0,7.215,-1.455,30.5771,5.0,0
NO_CLEAN_SETUP,UP,NORMAL,MOMENTUM_HIGH_BETA,2,100.0,5.9,-4.205,-0.623,7.0,0
OVERSOLD_BOUNCE,UP,NORMAL,DEFENSIVE_STABLE,2,0.0,0.62,-4.075,-3.0846,5.0,0
OVERSOLD_BOUNCE,UP,NORMAL,FINANCIAL,2,0.0,1.145,-4.845,-1.2601,5.0,0
OVERSOLD_BOUNCE,UP,HIGH_VOL,CYCLICAL,1,100.0,2.25,-1.58,0.8411,5.0,0
